1460972|010574|ARROZ PAISANA SELEC. PRAC. 12X|ALICORP S.A.A.|0|Arroz|Arroz|Paisana|Paisana Selecto|Alicorp CM|Alicorp|P|12|12|0|2.6950|3.2000
1460972|011028|ARROZ PAISANA SELECTO PRAC. BL|ALICORP S.A.A.|0|Arroz|Arroz|Paisana|Paisana Selecto|Alicorp CM|Alicorp|P|1|1|0|13.0340|17.1600
1460972|040527|DETERG. BOLIVAR FLORAL 10X1.50|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Floral|Alicorp CM|Alicorp|P|10|10|0|14.6714|17.0100
1460972|040248|DETERG. BOLIVAR FLORAL 15X900G|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Floral|Alicorp CM|Alicorp|P|15|15|0|6.1775|7.1900
1460972|040228|DETERG. BOLIVAR FLORAL 30X360G|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Floral|Alicorp CM|Alicorp|P|30|30|0|3.3156|3.8300
1460972|040377|DETERG. BOLIVAR FLORAL 30X520G|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Floral|Alicorp CM|Alicorp|P|30|30|0|3.9809|4.6800
1460972|040328|DETERG. BOLIVAR FLORAL 4X4.50K|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Floral|Alicorp CM|Alicorp|P|4|4|0|40.8395|47.5100
1460972|040380|DETERG. BOLIVAR FLORAL 60X160G|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Floral|Alicorp CM|Alicorp|P|60|60|0|1.5114|1.7900
1460972|040255|DETERG. BOLIVAR FLORAL 7X2600G|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Floral|Alicorp CM|Alicorp|P|7|7|0|25.1922|28.8600
1460972|040528|DETERG. BOLIVAR LIMON 10X1.5KG|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Limon|Alicorp CM|Alicorp|P|10|10|0|14.6714|17.0100
1460972|040294|DETERG. BOLIVAR LIMON 15X900GR|ALICORP S.A.A.|0|Limpieza|Detergente|Detergente Bolivar|Bolivar Limon|Alicorp CM|Alicorp|P|15|15|0|6.1775|7.1900
